
{ time: '12:35:02', cpu: 0.1, ram: 9.28, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:03', cpu: 0.05, ram: 9.27, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:04', cpu: 0.2, ram: 9.28, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 46, netRx: 1, netTx: 2 },
{ time: '12:35:05', cpu: 0, ram: 9.28, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:06', cpu: 0, ram: 9.28, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:07', cpu: 0, ram: 9.28, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:35:08', cpu: 0.25, ram: 9.28, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:09', cpu: 0.2, ram: 9.30, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 47, netRx: 0, netTx: 2 },
{ time: '12:35:10', cpu: 0.05, ram: 9.31, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:35:12', cpu: 0, ram: 9.30, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:35:13', cpu: 0.05, ram: 9.31, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 1, netTx: 2 },
{ time: '12:35:14', cpu: 0.05, ram: 9.31, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:15', cpu: 0, ram: 9.31, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:16', cpu: 0.05, ram: 9.30, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:35:17', cpu: 0.25, ram: 9.31, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:18', cpu: 0.15, ram: 9.28, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:19', cpu: 0.2, ram: 9.32, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:35:20', cpu: 0, ram: 9.28, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:21', cpu: 0.05, ram: 9.28, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:22', cpu: 0.15, ram: 9.27, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 46, netRx: 1, netTx: 2 },
{ time: '12:35:23', cpu: 0, ram: 9.30, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:24', cpu: 0, ram: 9.31, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:35:25', cpu: 0, ram: 9.30, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:26', cpu: 0, ram: 9.28, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:28', cpu: 0.1, ram: 9.30, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 1, netTx: 2 },
{ time: '12:35:29', cpu: 0.05, ram: 9.30, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:30', cpu: 0.3, ram: 9.31, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:31', cpu: 0, ram: 9.30, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:35:32', cpu: 0.15, ram: 9.31, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:33', cpu: 0, ram: 9.31, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:34', cpu: 0.05, ram: 9.27, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:35:35', cpu: 0, ram: 9.28, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:36', cpu: 0.05, ram: 9.28, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:37', cpu: 0.05, ram: 9.30, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:35:38', cpu: 0.05, ram: 9.28, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:39', cpu: 0.1, ram: 9.30, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:40', cpu: 0, ram: 9.31, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 1, netTx: 0 },
{ time: '12:35:41', cpu: 0.05, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:42', cpu: 0.1, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 1, netTx: 2 },
{ time: '12:35:44', cpu: 0, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:45', cpu: 0.05, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:46', cpu: 0.2, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 46, netRx: 1, netTx: 2 },
{ time: '12:35:47', cpu: 0, ram: 9.35, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:48', cpu: 0, ram: 9.35, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:49', cpu: 0.2, ram: 9.32, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 46, netRx: 1, netTx: 2 },
{ time: '12:35:50', cpu: 0.05, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:35:51', cpu: 0, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:35:52', cpu: 0.05, ram: 9.31, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:35:53', cpu: 0, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:54', cpu: 0.05, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:55', cpu: 0, ram: 9.35, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:35:56', cpu: 0, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:57', cpu: 0.1, ram: 9.35, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:35:58', cpu: 0, ram: 9.35, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:35:59', cpu: 0.15, ram: 9.35, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:36:01', cpu: 0.05, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:36:02', cpu: 0, ram: 9.36, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:36:03', cpu: 0.05, ram: 9.36, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:36:04', cpu: 0.1, ram: 9.36, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 1, netTx: 2 },
{ time: '12:36:05', cpu: 0.05, ram: 9.35, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:36:06', cpu: 0, ram: 9.35, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:36:07', cpu: 0, ram: 9.32, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:36:08', cpu: 0, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 2 },
{ time: '12:36:09', cpu: 0.05, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:36:10', cpu: 0.1, ram: 9.32, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 2 },
{ time: '12:36:11', cpu: 0, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:36:12', cpu: 0, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
